country,year,end year,number of adopted rights,Human Dignity,Overthrow Government,Amparo,Indigenous Voting,Indigenous Representation,Form Indigenous Political Parties,Indigenous Tax Exemption,Indigenous Exemption for Illegal Activities,Indigenous Internal Governance,Form Parties,Suffrage,Provide Work,Cultural Rights,Jury,Victims' Rights,Extradition of Criminals,Evidence,Pre-Trial Release,Unjustified Restraint,No Punishment Without Law,Appeal,Capital Punishment,Corporal Punishment,Due Process,Witnesses,Ex Post Laws,False Imprisonment,Fair Trial,Speedy Trial,Public Trial,Presumption of Innocence,Trial in Native Language,Juvenile Criminal Rights,Double Jeopardy,Self-Incrimination,Counsel,Debtor Detention Banned,Birthright Citizenship,Renounce Citizenship,Equality,Gender Non-Discrimination,Nationality Non-Discrimination,Origin Non-Discrimination,Racial Non-Discrimination,Language Non-Discrimination,Religious Non-Discrimination,Sexual Orientation Non-Discrimination,Age Non-Discrimination,Disability Non-Discrimination,Skin Color Non-Discrimination,Creed Non-Discrimination,Social Status Non-Discrimination,Financial Non-Discrimination,Tribe/Clan Non-Discrimination,Party Non-Discrimination,Parentage Non-Discrimination,Information,Reputation,Freedom of Religion,Church/State Relationship,Expropriation of Property,Fair Compensation,Unions,Strike,Leisure,Standard of Living,Transfer Property,Testate,Inheritance,Intellectual Property,Patents,Copyright,Trademarks,Form Business,Consumer Rights,Social Security,Support for Elderly,Support for Unemployed,Support for Disabled,Support for Children,Property,Free Market,Benefits of Science,Occupation,Safe Working Environment,Child Labor,Shelter,Marriage,Found Family,Matrimonial Equality,Childrens' Rights,Civil Marriage,Self-Determination,Health,Life,Slavery,Torture,Cruel and Unusual Punishment,Privacy,Movement,Opinion,Expression,Petition,Censorship Banned,Press,Assembly,Association,Development of Person,Conscientious Objectors,Asylum,Arms,Environment,Arts,Language Protection,Free Education,Academic Freedom,Access to Higher Education
Saint Kitts and Nevis,2012,,34,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. conditional,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no
Saint Lucia,2012,,39,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. conditional,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. conditional,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no
Saint Vincent and the Grenadines,2012,,36,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. conditional,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. conditional,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no
Samoa,2012,,35,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. conditional,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,2. full,2. full,2. full,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no
Sao Tome and Principe,2012,,58,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,1. yes,1. yes,0. no,2. full,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,2. full,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,0. no,2. yes and free access,1. yes,0. no,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full
Saudi Arabia,2012,,13,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no
Senegal,2012,,31,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,2. full,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no
Seychelles,2012,,56,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,2. full,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,2. yes and free access,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. conditional,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,2. yes and free access,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. conditional
Sierra Leone,2012,,53,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. conditional,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. conditional
Singapore,2012,,18,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,2. full,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no
Slovak Republic,2012,,69,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. conditional,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. conditional,1. yes,1. yes,2. full,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,2. yes and free access,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,1. conditional,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no
Slovenia,2012,,68,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,1. yes,1. yes,1. yes,2. full,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,2. full,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,2. yes and free access,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no
Solomon Islands,2012,,39,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,2. yes and free access,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,1. conditional,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no
Somalia,2012,,55,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. conditional,0. no,1. yes,2. full,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no
South Africa,2012,,58,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. conditional,0. no,1. yes,2. full,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no
South Korea,2012,,51,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. conditional,0. no,1. yes,2. full,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. conditional,2. full,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. conditional
Spain,2012,,55,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. conditional,0. no,0. no,1. yes,0. no,0. no,1. conditional,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. conditional,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,2. full,2. full,1. yes,1. yes,0. no,1. yes,1. yes,2. full,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,2. full
Sri Lanka,2012,,40,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,2. full,2. full,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,2. full
Sudan,2012,,44,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. conditional,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. conditional,1. yes,0. no,1. yes,0. no,1. yes,2. yes and free access,1. yes,2. full,2. full,2. full,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no
Suriname,2012,,46,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no
Swaziland,2012,,58,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,2. yes and free access,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. conditional,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,2. full,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no
Sweden,2012,,32,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,2. full,2. full,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,2. full,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no
Switzerland,2012,,59,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,1. yes,2. full,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. conditional,1. yes,1. yes,2. full,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,2. full,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. conditional
Syria,2012,,39,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,2. full,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. conditional,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no
